id,Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado,month,year,year_month,Siglas,ClasseObj,CagGasto
0,27.201.000218.2019,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",18/01/2019,DISPENSA DE LICITAÇÃO.,30.116.303/0001-35 - INCOLAMA CONSTRUTORA LTDA,"214.307,17",214307.17,Jan,2019,2019-01,SEDH,Outros,Acima de 150mil
1,27.201.000288.2019,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",28/01/2019,DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,40.811.101/0001-67 - CEIA REFEIÇOES COLETIVAS LTDA ME,"311.220,00",311220,Jan,2019,2019-01,SEDH,Alimentação para quentinhas e outros,Acima de 150mil
2,17.000.002841.2019,SECRETARIA DE ESTADO DA RECEITA,1/2/2019,AQUISIÇÃO DE MATERIAL,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,"16.800,00",16800,Feb,2019,2019-02,SER,Compra de material permanente,Abaixo de 50 mil
3,30.000.008954.2019,ENCARGOS GERAIS DO ESTADO,6/2/2019,"PRESTAÇÃO DE SERVIÇOS DE CONSERVAÇÃO, HIGIENIZAÇÃO E LIMPEZA",07.990.965/0001-18 - ÁGAPE CONSTRUÇÕES E SERVIÇOS LTDA,"138.274,26",138274.26,Feb,2019,2019-02,EGE,Contratação de serviços em geral,Entre 100mil e 150mil
4,25.206.000050.2019,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,12/2/2019,AQUISIÇÃO DE MEDICAMENTOS CONTROLADOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"56.700,00",56700,Feb,2019,2019-02,SES,Compra de Medicamentos,Entre 50mil e 100mil
5,25.000.1911525.2019,SECRETARIA DE ESTADO DA SAÚDE,14/02/2019,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,"3.800,00",3800,Feb,2019,2019-02,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
6,25.000.1112512.2019,SECRETARIA DE ESTADO DA SAÚDE,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"935,76",935.76,Feb,2019,2019-02,SES,Compra de Medicamentos,Abaixo de 50 mil
7,25.000.2911593.2019,SECRETARIA DE ESTADO DA SAÚDE,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20MG),04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"935,76",935.76,Feb,2019,2019-02,SES,Compra de Medicamentos,Abaixo de 50 mil
8,25.000.1101584.2019,SECRETARIA DE ESTADO DA SAÚDE,27/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"87.365,04",87365.04,Feb,2019,2019-02,SES,Compra de Medicamentos,Entre 50mil e 100mil
9,25.000.1601533.2019,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML) ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"76.157,01",76157.01,Feb,2019,2019-02,SES,Compra de Medicamentos,Entre 50mil e 100mil
