Textbox2,NumPregão2,DataCriacao1,NumParticipantes,Orgao2,Modalidade2,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor
272.010.002.182.019,DISPENSA DE LICITAÇÃO,18/01/2019,1,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",DISPENSA DE LICITAÇÃO.,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",18/01/2019,DISPENSA DE LICITAÇÃO.,30.116.303/0001-35 - INCOLAMA CONSTRUTORA LTDA,214.307,214307
272.010.002.882.019,DISPENSA DE LICITAÇÃO,28/01/2019,1,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",28/01/2019,DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,40.811.101/0001-67 - CEIA REFEIÇOES COLETIVAS LTDA ME,311.22,31122
170.000.028.412.019,DISPENSA DE LICITAÇÃO,1/2/2019,1,SECRETARIA DE ESTADO DA RECEITA,AQUISIÇÃO DE MATERIAL,SECRETARIA DE ESTADO DA RECEITA,1/2/2019,AQUISIÇÃO DE MATERIAL,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,16.8,16800
300.000.089.542.019,DISPENSA DE LICITAÇÃO,6/2/2019,1,ENCARGOS GERAIS DO ESTADO,PRESTAÇÃO DE SERVIÇOS DE CONSERVAÇÃO,,,,,,
252.060.000.502.019,DISPENSA DE LICITAÇÃO,12/2/2019,1,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO DE MEDICAMENTOS CONTROLADOS,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,12/2/2019,AQUISIÇÃO DE MEDICAMENTOS CONTROLADOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,56.7,56700
2.500.019.115.252.010,DISPENSA DE LICITAÇÃO,14/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,SECRETARIA DE ESTADO DA SAÚDE,14/02/2019,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,3.8,3800
2.500.011.125.122.010,DISPENSA DE LICITAÇÃO,25/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,935,935
2.500.029.115.932.010,DISPENSA DE LICITAÇÃO,25/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20MG),SECRETARIA DE ESTADO DA SAÚDE,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20MG),04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,935,935
2.500.011.015.842.010,DISPENSA DE LICITAÇÃO,27/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,SECRETARIA DE ESTADO DA SAÚDE,27/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,87.365,87365
2.500.016.015.332.010,DISPENSA DE LICITAÇÃO,28/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML) ,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML) ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,76.157,76157
