Textbox2,NumPregão2,DataCriacao1,NumParticipantes,Orgao2,SIGLA,Modalidade2,Data de Abertura,Objeto,ClassObjeto,Razão Social,Total Adjudicado,Valor
272.010.002.182.019,DISPENSA DE LICITAÇÃO,18/01/2019,1,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",SEDH,DISPENSA DE LICITAÇÃO.,18/01/2019,DISPENSA DE LICITAÇÃO.,Contratação de serviços em geral,30.116.303/0001-35 - INCOLAMA CONSTRUTORA LTDA,214.307,214307
272.010.002.882.019,DISPENSA DE LICITAÇÃO,28/01/2019,1,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",SEDH,DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,28/01/2019,DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,Alimentação,40.811.101/0001-67 - CEIA REFEIÇOES COLETIVAS LTDA ME,311.22,31122
170.000.028.412.019,DISPENSA DE LICITAÇÃO,1/2/2019,1,SECRETARIA DE ESTADO DA RECEITA,SER,AQUISIÇÃO DE MATERIAL,1/2/2019,AQUISIÇÃO DE MATERIAL,Compra de material permanente,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,16.8,16800
300.000.089.542.019,DISPENSA DE LICITAÇÃO,6/2/2019,1,ENCARGOS GERAIS DO ESTADO,SEFAZ,PRESTAÇÃO DE SERVIÇOS DE CONSERVAÇÃO,,,Contratação de serviços em geral,,,
252.060.000.502.019,DISPENSA DE LICITAÇÃO,12/2/2019,1,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,SES,AQUISIÇÃO DE MEDICAMENTOS CONTROLADOS,12/2/2019,AQUISIÇÃO DE MEDICAMENTOS CONTROLADOS,Compra de Medicamentos,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,56.7,56700
2.500.019.115.252.010,DISPENSA DE LICITAÇÃO,14/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,14/02/2019,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,Materiais e Equipamentos Hospitalares,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,3.8,3800
2.500.011.125.122.010,DISPENSA DE LICITAÇÃO,25/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,935,935
2.500.029.115.932.010,DISPENSA DE LICITAÇÃO,25/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20MG),25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20MG),Compra de Medicamentos,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,935,935
2.500.011.015.842.010,DISPENSA DE LICITAÇÃO,27/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,27/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,87.365,87365
2.500.016.015.332.010,DISPENSA DE LICITAÇÃO,28/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML) ,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML) ,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,76.157,76157
2.500.016.015.342.010,DISPENSA DE LICITAÇÃO,28/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 265MG) ,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 265MG) ,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,46.251,46251
2.500.026.115.702.010,DISPENSA DE LICITAÇÃO,28/02/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,256.803,256803
2.500.023.015.952.010,DISPENSA DE LICITAÇÃO,1/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,PERTUZUMABE 420MG/14ML,1/3/2019,PERTUZUMABE 420MG/14ML,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,152.314,152314
250.004.025.162.019,DISPENSA DE LICITAÇÃO,1/3/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML),1/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML),Compra de Medicamentos,Razão Social não encontrada,253.856,253856
312.030.000.112.019,DISPENSA DE LICITAÇÃO,1/3/2019,1,SEIE/COMPANHIA DOCAS DA PARAÍBA,SEIE,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUTAR SERVIÇO DE LIMPEZA GERAL MECANIZADA DO,1/3/2019,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUTAR SERVIÇO DE LIMPEZA GERAL MECANIZADA DO,Contratação de serviços em geral,32.322.882/0001-06 - PEROLA INCORPORAÇÕES E CONSTRUÇOES LTDA,54.615,54615
170.000.173.782.019,DISPENSA DE LICITAÇÃO,6/3/2019,1,SECRETARIA DE ESTADO DA RECEITA,SER,CONTRATAÇÃO DE SERVIÇOS,6/3/2019,CONTRATAÇÃO DE SERVIÇOS,Contratação de serviços em geral,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,7.2,7200
250.004.025.202.019,DISPENSA DE LICITAÇÃO,6/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,6/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,813,813
222.040.041.062.019,DISPENSA DE LICITAÇÃO,7/3/2019,,SEE,SEE,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,7/3/2019,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,Compra de material permanente,Razão Social não encontrada,43,43000
22.204.720.820.182.000,DISPENSA DE LICITAÇÃO,7/3/2019,1,SEE,SEE,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,7/3/2019,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,Compra de material permanente,67.774.679/0001-47 - NOVA ANALITICA IMP.E EXP.LTDA,44.432,44432
2.500.011.125.802.010,DISPENSA DE LICITAÇÃO,8/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,8/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,127,127
250.007.125.502.019,DISPENSA DE LICITAÇÃO,8/3/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,SUPLEMENTO NUTRICIONAL,8/3/2019,SUPLEMENTO NUTRICIONAL,Suplementos e Leite Fórmula,Razão Social não encontrada,7.92,7920
2.500.029.015.922.010,DISPENSA DE LICITAÇÃO,11/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,11/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,2.246,2246
252.060.000.632.019,DISPENSA DE LICITAÇÃO,11/3/2019,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,SES,AQUISIÇÃO DE MEDICAMENTOS,11/3/2019,AQUISIÇÃO DE MEDICAMENTOS,Compra de Medicamentos,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,42.279,42279
2.500.011.015.782.010,DISPENSA DE LICITAÇÃO,12/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,12/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,10.015,10015
2.500.012.075.272.010,DISPENSA DE LICITAÇÃO,12/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY ,12/3/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY ,Exame Hospitalar,09.235.615/0001-71 - LABORATORIO PARAIBANO DE ANALISES CLINICAS LTDA,8.5,8500
2.500.017.125.252.010,DISPENSA DE LICITAÇÃO,12/3/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL  A FIM DE ATENDER DEMANDA JUDICIAL ,12/3/2019,AQUISIÇÃO EMERGENCIAL  A FIM DE ATENDER DEMANDA JUDICIAL ,Contratação de serviços em geral,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,8.4,8400
250.001.066.442.019,DISPENSA DE LICITAÇÃO,13/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CARIÓTIPO DE SANGUE,13/03/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CARIÓTIPO DE SANGUE,Exame Hospitalar,Razão Social não encontrada,750,750
250.001.115.552.019,DISPENSA DE LICITAÇÃO,13/03/2019,,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,13/03/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,Exame Hospitalar,Razão Social não encontrada,4.702,4702
2.500.012.026.062.010,DISPENSA DE LICITAÇÃO,13/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,SES,KIT S DE SOROLOGIA,13/03/2019,KIT S DE SOROLOGIA,Materiais e Equipamentos Hospitalares,01.896.764/0001-70 - DIASORIN LTDA,675.681,675681
2.500.016.015.682.010,DISPENSA DE LICITAÇÃO,13/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,13/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,305.29,305290
2.500.029.016.212.010,DISPENSA DE LICITAÇÃO,14/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,EXAME CGH-ARRAY 850K ,14/03/2019,EXAME CGH-ARRAY 850K ,Exame Hospitalar,09.235.615/0001-71 - LABORATÓRIO PARAIBANO DE ANALISES CLINICAS LTDA,6,6000
2.500.016.015.692.010,DISPENSA DE LICITAÇÃO,15/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,15/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,56.994.502/0027-79 - NOVARTIS BIOCIENCIAS SA,2.937,2937
2.500.025.015.352.010,DISPENSA DE LICITAÇÃO,15/03/2019,2,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,15/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,Compra de Medicamentos,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,1.95,1950
2.500.011.015.882.010,DISPENSA DE LICITAÇÃO,18/03/2019,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ABIRATERONA ACETATO 250MG) ,18/03/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ABIRATERONA ACETATO 250MG) ,Compra de Medicamentos,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,1.726.704,1726704
