Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado
27.201.000218.2019,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",18/01/2019,DISPENSA DE LICITAÇÃO.,30.116.303/0001-35 - INCOLAMA CONSTRUTORA LTDA,"214.307,17",214307.17
27.201.000288.2019,"SEDH/FUND. DESENV. CRIANÇA E ADOLESC""ALICE DE ALMEIDA""",28/01/2019,DISPENSA DE LICITAÇÃO SERVIÇO (TRANSPORTE E FORNECIMENTO DE ALIMENTAÇÃO).,40.811.101/0001-67 - CEIA REFEIÇOES COLETIVAS LTDA ME,"311.220,00",311220.00
17.000.002841.2019,SECRETARIA DE ESTADO DA RECEITA,1/2/2019,AQUISIÇÃO DE MATERIAL,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,"16.800,00",16800.00
30.000.008954.2019,ENCARGOS GERAIS DO ESTADO,6/2/2019,"PRESTAÇÃO DE SERVIÇOS DE CONSERVAÇÃO, HIGIENIZAÇÃO E LIMPEZA",07.990.965/0001-18 - ÁGAPE CONSTRUÇÕES E SERVIÇOS LTDA,"138.274,26",138274.26
25.206.000050.2019,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,12/2/2019,AQUISIÇÃO DE MEDICAMENTOS CONTROLADOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"56.700,00",56700.00
25.000.1911525.2019,SECRETARIA DE ESTADO DA SAÚDE,14/02/2019,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,"3.800,00",3800.00
25.000.1112512.2019,SECRETARIA DE ESTADO DA SAÚDE,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"935,76",935.76
25.000.2911593.2019,SECRETARIA DE ESTADO DA SAÚDE,25/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20MG),04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"935,76",935.76
25.000.1101584.2019,SECRETARIA DE ESTADO DA SAÚDE,27/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"87.365,04",87365.04
25.000.1601533.2019,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML) ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"76.157,01",76157.01
25.000.1601534.2010,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PIRFENIDONA 265MG) ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"46.251,00",46251.00
25.000.2611570.2010,SECRETARIA DE ESTADO DA SAÚDE,28/02/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0012-98 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,"256.803,00",256803.00
25.000.2301595.2010,SECRETARIA DE ESTADO DA SAÚDE,1/3/2019,PERTUZUMABE 420MG/14ML,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"152.314,00",152314.00
25.000.402516.2019,SECRETARIA DE ESTADO DA SAÚDE,1/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PERTUZUMABE 420MG/14ML),Razão Social não encontrada,"253.856,70",253856.70
31.203.000011.2019,SEIE/COMPANHIA DOCAS DA PARAÍBA,1/3/2019,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUTAR SERVIÇO DE LIMPEZA GERAL MECANIZADA DO,32.322.882/0001-06 - PEROLA INCORPORAÇÕES E CONSTRUÇOES LTDA,"54.615,74",54615.74
17.000.017378.2019,SECRETARIA DE ESTADO DA RECEITA,6/3/2019,CONTRATAÇÃO DE SERVIÇOS,01.518.579/0001-41 - A UNIAO SUP.DE IMPRENSA E EDITORA,"7.200,00",7200.00
25.000.402520.2019,SECRETARIA DE ESTADO DA SAÚDE,6/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,"813,12",813.12
22.204.004106.2019,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,7/3/2019,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,Razão Social não encontrada,"43.000,00",43000.00
22.204.72082018.2019,SEE/UNIVERSIDADE ESTADUAL DA PARAÍBA,7/3/2019,AQUISIÇÃO DE MATERIAL PERMANENTE PARA O CONVÊNIO Nº 843506/2017,67.774.679/0001-47 - NOVA ANALITICA IMP.E EXP.LTDA,"44.432,00",44432.00
25.000.1112580.2019,SECRETARIA DE ESTADO DA SAÚDE,8/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"127,80",127.80
25.000.712550.2019,SECRETARIA DE ESTADO DA SAÚDE,8/3/2019,SUPLEMENTO NUTRICIONAL,Razão Social não encontrada,"7.920,00",7920.00
25.000.2901592.2019,SECRETARIA DE ESTADO DA SAÚDE,11/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS LTDA,"2.246,64",2246.64
25.206.000063.2019,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,11/3/2019,AQUISIÇÃO DE MEDICAMENTOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"42.279,00",42279.00
25.000.1101578.2019,SECRETARIA DE ESTADO DA SAÚDE,12/3/2019,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"10.015,20",10015.20
25.000.1207527.2019,SECRETARIA DE ESTADO DA SAÚDE,12/3/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY ,09.235.615/0001-71 - LABORATORIO PARAIBANO DE ANALISES CLINICAS LTDA,"8.500,00",8500.00
25.000.1712525.2019,SECRETARIA DE ESTADO DA SAÚDE,12/3/2019,AQUISIÇÃO EMERGENCIAL  A FIM DE ATENDER DEMANDA JUDICIAL ,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA-ME,"8.400,00",8400.00
25.000.106644.2019,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CARIÓTIPO DE SANGUE,Razão Social não encontrada,"750,00",750.00
25.000.111555.2019,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,Razão Social não encontrada,"4.702,93",4702.93
25.000.1202606.2019,SECRETARIA DE ESTADO DA SAÚDE,13/03/2019,KIT S DE SOROLOGIA,01.896.764/0001-70 - DIASORIN LTDA,"675.681,60",675681.60
