Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado
25.000.005212.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE HOMECARE,44.634.275/0001-52 - MONTENEGRO E NAARA SERVICOS EM SAUDE HOMECARE LTDA,"74.455,20"
25.000.009389.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ROMIPLOSTIM 250 MCG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"44.627,00"
25.000.010332.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (SOMATROPINA HUMANA RECOMBINANTE 4 UI SOLUÇÃO INJETÁVEL),01.324.654/0001-33 - IMPORT HOSPITALAR EIRELI,"188.500,00"
25.000.010905.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"11.553,36"
25.000.011138.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,18.459.628/0097-67 - BAYER S.A.,"730.540,80"
25.000.011266.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PALIPERIDONA 150 MG/1,5 ML) ",51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"119.738,25"
25.000.012636.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,"AQUIS. DE MEDICAMENTO (TIOTRÓPIO + OLODATEROL 2,5 + 2,5 MCG SOLUÇÃO PARA INALAÇÃO COM 60 DOSES).",09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"316.005,00"
25.000.014635.2023,SECRETARIA DE ESTADO DA SAÚDE,03/01/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","210,60"
25.000.001868.2023,SECRETARIA DE ESTADO DA SAÚDE,04/01/2023,AQUISIÇÃO EMERG DE SUPLEMENTO NUTRICIONAL ,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"68.061,00"
25.000.008594.2023,SECRETARIA DE ESTADO DA SAÚDE,04/01/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA APLICAÇÃO DO MEDICAMENTO LUCENTIS ,12.646.171/0003-33 - CENTRO PARAIBANO DE CLINICA E CIRURGIA DE OLHOS LTDA,"3.000,00"
