Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,
25.000.025702.2024,SECRETARIA DE ESTADO DA SAÚDE,02/01/2024, MEDICAMENTOS/MATERIAL (SENSOR FREESTYLE LIBRE),56.998.701/0034-84 - ABBOTT LABORATORIOS DO BRASIL LTDA,"113.367,60",
25.233.000002.2024,SES/HOSPITAL DISTRITAL DE SOLÂNEA - SOLANEA,15/01/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS MÉDICO HOSPITALARES,10.464.359/0001-73 - ROBERTO DIOGO FERREIRA DA COSTA EIRELI,"96.000,00",
32.000.800001.2024,SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUÁRIA E DA PESCA,16/01/2024,"SERVIÇO DE CONFECÇÕES DE BALCÃO, FORNECIMENTOS E COLOCAÇÃO DE PORTAS DIVISÓRIA/SEDAP",02.980.202/0001-72 - EDVALDO MENDES DOS SANTOS,"56.806,00",
09.201.000017.2024,CCG/PARAÍBA PREVIDÊNCIA,19/01/2024,SERVIÇO DE LOCAÇÃO DE FIREWALL,10.920.030/0001-70 - INORPEL COMERCIO E SERVICOS LTDA,"24.480,00",
33.000.000053.2024,SECRETARIA DE ESTADO DA CULTURA,24/01/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO PROVIMENTO DE INTERNET EMPRESARIAL COM LINK DEDICADO NAS VELOCIDADES DE  400MBPS E 200MBPS.,06.346.446/0001-59 - SITECNET INFORMATICA LTDA -ME,"28.080,00",
33.000.000054.2024,SECRETARIA DE ESTADO DA CULTURA,24/01/2024,"AQUISIÇÃO DE MÓVEIS (ARMÁRIOS, MESA DE REUNIÃO E GAVETEIROS), PARA SECRETARIA DE ESTADO DA CULTURA - SECULT.",36.253.306/0001-05 - JAMPA MÓVEIS COMÉRCIO E SERVIÇO LTDA,"42.600,00",
26.201.043296.2024,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,25/01/2024,CONTRATAÇÃO EMERGENCIAL DO SERVIÇO DE SEGURANÇA ELETRÔNICA POR VIDEOMONITORAMENTO,21.977.396/0001-00 - IMPACTA TELECOM E SEGURANÇA ELETRONICA LTDA,"210.000,00",
34.201.004237.2024,SECTMA/SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MEIO AMBIENTE,25/01/2024,CONTRATAÇÃO DE EMPRESA DE MERGULHO,41.452.313/0001-68 - IVAN OCCHI 70179994441,"16.000,00",
21.901.000009.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,26/01/2024,AQUISIÇÃO DE TROFÉUS PERSONALIZADOS,41.122.714/0001-50 - IVANILDO MOREIRA PALITO-ME,"4.500,00",
21.901.000016.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,26/01/2024,SERVIÇOS DE LOCAÇÃO DE SCANNER,02.914.690/0001-10 - COPY LINE COMERCIO E SERVICOS LTDA,"34.200,00",
09.201.000041.2024,CCG/PARAÍBA PREVIDÊNCIA,29/01/2024,SERVIÇO DE TELEFONIA VOIP,08.542.800/0001-46 - FL INFORMATICA LTDA - ME,"59.248,00",
26.000.000019.2024,SECRETARIA DE ESTADO DA SEGURANÇA E DA DEFESA SOCIAL,29/01/2024,AQUISIÇÃO DE ÁGUA MINERAL PARA O CICC/PATOS,37.970.363/0001-60 - UNIÁGUA PATOS LTDA,"26.000,00",
26.000.000721.2024,SECRETARIA DE ESTADO DA SEGURANÇA E DA DEFESA SOCIAL,29/01/2024,AQUISIÇÃO DE ÁGUA MINERAL PARA O CICC/CAMPINA GRANDE,35.115.527/0001-46 - JOSÉ FERNANDES DE MELO SILVA,"21.960,00",
28.000.000039.2024,PROJETO COOPERAR,29/01/2024,OBRA-CONSTRUÇÃO DE SALA PARA ARQUIVO NA SEDE DO COOPERAR,42.711.660/0001-20 - EMPREITEIRA CAMPOS E RABELO LTDA,"37.612,61",
25.000.027245.2024,SECRETARIA DE ESTADO DA SAÚDE,01/02/2024,AQUISIÇÃO EMERGENCIAL DE INSUMOS,08.975.531/0001-01 - MEDICAL CARE LTDA,"46.155,00",
25.000.027343.2024,SECRETARIA DE ESTADO DA SAÚDE,01/02/2024, MEDICAMENTO(S) ,13.405.776/0001-33 - A. C. NASCIMENTO ARTIGOS MEDICOS,"129.460,60",
